epoch,threshold,target_accuracy,pseudo_accuracy,coverage,reliable_count,target_count,reliability_mean,alignment_active
2.0,0.6,0.560695344725987,0.6213519952352591,0.6595953643684934,6716.0,10182.0,0.6459436980658783,0.0
2.0,0.65,0.560695344725987,0.7652248150256118,0.34511883716362207,3514.0,10182.0,0.6459436980658783,0.0
2.0,0.7,0.560695344725987,0.7651083238312428,0.34452956197210766,3508.0,10182.0,0.6459436980658783,0.0
2.0,0.75,0.560695344725987,0.7654462242562929,0.34335101158907877,3496.0,10182.0,0.6459436980658783,0.0
2.0,0.8,0.560695344725987,0.7663793103448275,0.3417796110783736,3480.0,10182.0,0.6459436980658783,0.0
2.0,0.85,0.560695344725987,0.7682080924855491,0.33981536043999216,3460.0,10182.0,0.6459436980658783,0.0
2.0,0.9,0.560695344725987,0.7685373655132306,0.3377528972696916,3439.0,10182.0,0.6459436980658783,0.0
2.0,0.95,0.560695344725987,0.7701826753093695,0.3333333333333333,3394.0,10182.0,0.6459436980658783,0.0
2.0,1.0,0.560695344725987,nan,0.0,0.0,10182.0,0.6459436980658783,0.0
3.0,0.0,0.5532311923001375,0.5428206639167158,1.0,10182.0,10182.0,0.6015186339054799,0.0
3.0,0.05,0.5532311923001375,0.5428739809448974,0.9999017874680809,10181.0,10182.0,0.6015186339054799,0.0
3.0,0.1,0.5532311923001375,0.5429779701022817,0.998625024553133,10168.0,10182.0,0.6015186339054799,0.0
3.0,0.15,0.5532311923001375,0.5451217098753216,0.9925358475741505,10106.0,10182.0,0.6015186339054799,0.0
3.0,0.2,0.5532311923001375,0.5480163885280304,0.9828128069141623,10007.0,10182.0,0.6015186339054799,0.0
3.0,0.25,0.5532311923001375,0.5532870559412005,0.9620899626792379,9796.0,10182.0,0.6015186339054799,0.0
3.0,0.3,0.5532311923001375,0.58770073447031,0.7889412689059124,8033.0,10182.0,0.6015186339054799,0.0
3.0,0.35,0.5532311923001375,0.5919288464091331,0.7398350029463759,7533.0,10182.0,0.6015186339054799,0.0
3.0,0.4,0.5532311923001375,0.6025658523270097,0.7196032213710469,7327.0,10182.0,0.6015186339054799,0.0
3.0,0.45,0.5532311923001375,0.6139685216413716,0.6988803771361226,7116.0,10182.0,0.6015186339054799,0.0
3.0,0.5,0.5532311923001375,0.6239705882352942,0.6678452170496956,6800.0,10182.0,0.6015186339054799,0.0
3.0,0.55,0.5532311923001375,0.8291837377875827,0.3116283637792182,3173.0,10182.0,0.6015186339054799,0.0
3.0,0.6,0.5532311923001375,0.8295992426633008,0.31123551365154195,3169.0,10182.0,0.6015186339054799,0.0
3.0,0.65,0.5532311923001375,0.8310126582278481,0.31035160086427027,3160.0,10182.0,0.6015186339054799,0.0
3.0,0.7,0.5532311923001375,0.8321678321678322,0.3089766254174033,3146.0,10182.0,0.6015186339054799,0.0
3.0,0.75,0.5532311923001375,0.8333333333333334,0.3070123747790218,3126.0,10182.0,0.6015186339054799,0.0
