threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.45,2553,1918,757,0.7512730121425774,0.39468196037539105
0.46,2553,1887,748,0.7391304347826086,0.3963963963963964
0.47000000000000003,2553,1853,733,0.7258127692910301,0.39557474365893147
0.48,2553,1828,727,0.7160203681942813,0.3977024070021882
0.49,2553,1802,722,0.7058362710536623,0.40066592674805773
0.5,2553,1760,711,0.6893850372111242,0.40397727272727274
0.51,2553,1736,706,0.6799843321582452,0.4066820276497696
0.52,2553,1706,696,0.6682334508421465,0.4079718640093787
0.53,2553,1682,688,0.6588327457892675,0.4090368608799049
0.54,2553,1647,676,0.645123384253819,0.41044323011536127
0.55,2553,1627,665,0.6372894633764199,0.4087277197295636
0.56,2553,1614,659,0.6321974148061105,0.4083023543990087
0.5700000000000001,2553,1602,654,0.627497062279671,0.40823970037453183
0.58,2553,1587,647,0.6216216216216216,0.4076874606175173
0.59,2553,1550,630,0.6071288679984332,0.4064516129032258
0.6,2553,1533,623,0.600470035252644,0.4063926940639269
0.61,2553,1506,610,0.5898942420681551,0.4050464807436919
0.62,2553,1472,606,0.5765765765765766,0.4116847826086957
0.63,2553,1454,602,0.5695260477869174,0.4140302613480055
0.64,2553,1445,600,0.5660007833920877,0.41522491349480967
0.65,2553,1429,597,0.5597336466901685,0.4177746675997201
0.66,2553,1397,595,0.5471993732863298,0.4259126700071582
0.67,2553,1376,593,0.5389737563650607,0.4309593023255814
0.68,2553,1343,589,0.5260477869173521,0.43857036485480266
0.6900000000000001,2553,1295,582,0.5072463768115942,0.4494208494208494
0.7,2553,1261,577,0.49392871132001565,0.45757335448057096
0.7000000000000001,2553,1261,577,0.49392871132001565,0.45757335448057096
0.71,2553,1226,562,0.48021934978456715,0.45840130505709625
0.72,2553,1164,555,0.45593419506462984,0.47680412371134023
0.73,2553,1134,553,0.44418331374853115,0.4876543209876543
0.74,2553,1101,548,0.4312573443008226,0.4977293369663942
0.75,2553,1076,545,0.4214649432040736,0.5065055762081785
0.76,2553,1064,544,0.41676459067763416,0.5112781954887218
0.77,2553,1056,544,0.4136310223266745,0.5151515151515151
0.78,2553,1053,544,0.41245593419506466,0.51661918328585
0.79,2553,1042,543,0.4081472777124951,0.5211132437619962
0.8,2553,1035,543,0.40540540540540543,0.5246376811594203
0.81,2553,1031,543,0.4038386212299256,0.5266731328806984
0.8200000000000001,2553,1027,543,0.40227183705444575,0.5287244401168452
0.8300000000000001,2553,1025,542,0.4014884449667058,0.5287804878048781
0.84,2553,1022,542,0.40031335683509595,0.5303326810176126
0.85,2553,1020,542,0.399529964747356,0.5313725490196078
0.86,2553,1018,542,0.39874657265961616,0.5324165029469549
0.87,2553,1012,540,0.3963963963963964,0.5335968379446641
0.88,2553,1010,540,0.3956130043086565,0.5346534653465347
0.89,2553,1009,539,0.3952213082647865,0.5341922695738355
0.9,2553,1001,537,0.3920877399138269,0.5364635364635365
0.91,2553,998,536,0.390912651782217,0.5370741482965932
0.92,2553,996,535,0.3901292596944771,0.5371485943775101
0.93,2553,993,534,0.3889541715628672,0.5377643504531722
0.9400000000000001,2553,987,531,0.38660399529964745,0.5379939209726444
0.9500000000000001,2553,980,531,0.3838621229925578,0.5418367346938775
0.96,2553,971,528,0.38033685859772814,0.5437693099897013
0.97,2553,955,524,0.37406972189580884,0.5486910994764398
0.98,2553,935,516,0.3662358010184097,0.5518716577540107
0.99,2553,882,485,0.345475910693302,0.5498866213151927
1.0,2553,0,0,0.0,
