rule,threshold,selected_count,coverage,pseudo_label_accuracy
Consensus,0.13749118149280548,21777,0.986411197173529,0.5531983285117326
Consensus,0.13755589723587036,21776,0.9863659011641075,0.5532237325495959
Consensus,0.13768668472766876,21775,0.9863206051546859,0.5532491389207808
Consensus,0.13839928805828094,21774,0.9862753091452643,0.5532286212914486
Consensus,0.13847927749156952,21773,0.9862300131358427,0.5532540302209158
Consensus,0.13854184746742249,21772,0.9861847171264212,0.5532794414844755
Consensus,0.1387087106704712,21771,0.9861394211169996,0.5532589224197326
Consensus,0.1388319730758667,21770,0.986094125107578,0.5532843362425356
Consensus,0.13892827928066254,21769,0.9860488290981565,0.5532638155174789
Consensus,0.13896100223064423,21768,0.9860035330887349,0.5532892319000368
Consensus,0.13903561234474182,21767,0.9859582370793133,0.5533146506179079
Consensus,0.13907241821289062,21766,0.9859129410698917,0.5533400716714141
Consensus,0.13928495347499847,21765,0.9858676450604702,0.5533195497358144
Consensus,0.13943390548229218,21764,0.9858223490510486,0.553344973350487
Consensus,0.13945746421813965,21763,0.985777053041627,0.5533703993015668
Consensus,0.13954664766788483,21762,0.9857317570322055,0.553395827589376
Consensus,0.13960957527160645,21761,0.9856864610227839,0.5534212582142365
Consensus,0.1397489458322525,21760,0.9856411650133623,0.5534007352941176
Consensus,0.1400379240512848,21759,0.9855958690039408,0.5533802104876143
Consensus,0.14023594558238983,21758,0.9855505729945192,0.5533596837944664
Consensus,0.14034272730350494,21757,0.9855052769850976,0.5533851174334697
Consensus,0.14038896560668945,21756,0.985459980975676,0.5534105534105535
Consensus,0.1405022144317627,21755,0.9854146849662545,0.55343599172604
Consensus,0.140550896525383,21754,0.9853693889568329,0.5534614323802519
Consensus,0.14080172777175903,21753,0.9853240929474113,0.5534409047027996
Consensus,0.14098422229290009,21752,0.9852787969379898,0.5534663479220302
Consensus,0.14106601476669312,21751,0.9852335009285682,0.5534458185830536
Consensus,0.14106608927249908,21750,0.9851882049191466,0.5534712643678161
Consensus,0.1412813365459442,21749,0.985142908909725,0.5534967124925284
Consensus,0.1413339525461197,21748,0.9850976129003035,0.5534761817178591
