threshold,sample_count,selected_count,rejected_count,wrong_pseudo_count,coverage,selected_pseudo_precision,rejected_error_recall,rejected_error_precision
0.47000000000000003,10182,8299,1883,1869,0.8150658023963858,0.8669719243282323,0.40930979133226325,0.40626659585767394
0.48,10182,8245,1937,1869,0.8097623256727559,0.8682838083687083,0.4189406099518459,0.4042333505420754
0.49,10182,8226,1956,1869,0.8078962875662935,0.8687089715536105,0.42215088282504015,0.40337423312883436
0.5,10182,8191,1991,1869,0.8044588489491259,0.8692467342204859,0.42696629213483145,0.4008036162732295
0.51,10182,8156,2026,1869,0.8010214103319584,0.8699117214320745,0.4323167469234885,0.39881539980256664
0.52,10182,8129,2053,1869,0.7983696719701434,0.8698486898757535,0.4339218833600856,0.39503166098392595
0.53,10182,8102,2080,1869,0.7957179336083284,0.870278943470748,0.4376672017121455,0.39326923076923076
0.54,10182,8076,2106,1869,0.7931644077784326,0.8708519068845963,0.4419475655430712,0.3922127255460589
0.55,10182,8057,2125,1869,0.7912983696719701,0.8710438128335609,0.44408774745853397,0.3905882352941176
0.56,10182,8019,2163,1869,0.7875662934590454,0.8708068337697967,0.44569288389513106,0.3851132686084142
0.5700000000000001,10182,7991,2191,1869,0.7848163425653113,0.8711049931172569,0.4489031567683253,0.3829301688726609
0.58,10182,7944,2238,1869,0.7802003535651149,0.8712235649546828,0.45264847512038525,0.3780160857908847
0.59,10182,7793,2389,1869,0.7653702612453349,0.870781470550494,0.4612092027822365,0.3608204269568857
0.6,10182,7701,2481,1869,0.7563347083087802,0.8704064407219841,0.46602461209202783,0.35106811769447804
0.61,10182,7456,2726,1869,0.7322726379886073,0.8681598712446352,0.4740502942750134,0.32501834189288337
0.62,10182,7274,2908,1869,0.7143979571793361,0.8673357162496563,0.48368111289459603,0.3108665749656121
0.63,10182,7075,3107,1869,0.6948536633274406,0.8664310954063604,0.4943820224719101,0.2973929835854522
0.64,10182,6898,3284,1869,0.6774700451777647,0.8677877645694404,0.5120385232744783,0.2914129110840438
0.65,10182,6713,3469,1869,0.6593007267727362,0.8733800089378817,0.545211342964152,0.2937445949841453
0.66,10182,6541,3641,1869,0.6424081712826557,0.8775416602965908,0.5714285714285714,0.29332600933809394
0.67,10182,6329,3853,1869,0.6215871145158122,0.8753357560436088,0.5778491171749599,0.2803010641058915
0.68,10182,6137,4045,1869,0.6027303083873502,0.8761609907120743,0.5933654360620653,0.2741656365883807
0.6900000000000001,10182,5899,4283,1869,0.5793557257906109,0.8791320562807255,0.6185125735687533,0.26990427270604717
0.7000000000000001,10182,5714,4468,1869,0.5611864073855825,0.8837941897094854,0.6447298020331729,0.2696956132497762
