dataset,sweep,parameter_value,metric,mean,std,mean_percent,std_percent,result_files,seeds,run_root
seedv,alignment_weight,0.8,macro-f1,0.48780000,0.01820000,48.7800,1.8200,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0,acc,0.50400000,0.01440000,50.4000,1.4400,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0,macro-f1,0.50370000,0.01940000,50.3700,1.9400,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0.5,acc,0.49780000,0.01460000,49.7800,1.4600,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0.5,macro-f1,0.49780000,0.01910000,49.7800,1.9100,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0.6,acc,0.50370000,0.01890000,50.3700,1.8900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0.6,macro-f1,0.50160000,0.02440000,50.1600,2.4400,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0.7,acc,0.50240000,0.01550000,50.2400,1.5500,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0.7,macro-f1,0.50250000,0.00810000,50.2500,0.8100,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0.9,acc,0.48580000,0.03560000,48.5800,3.5600,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0.9,macro-f1,0.48620000,0.02560000,48.6200,2.5600,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0.95,acc,0.46390000,0.03510000,46.3900,3.5100,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,reliability_threshold,0.95,macro-f1,0.45920000,0.03100000,45.9200,3.1000,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
