threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.49,10182,9359,5915,0.9191710862306031,0.6320119670905011
0.5,10182,9317,5888,0.9150461598900019,0.6319630782440699
0.51,10182,9262,5862,0.909644470634453,0.6329086590369251
0.52,10182,9220,5847,0.9055195442938518,0.6341648590021692
0.53,10182,9191,5830,0.9026713808681988,0.6343161788706343
0.54,10182,9153,5811,0.898939304655274,0.6348738118649623
0.55,10182,9112,5784,0.894912590846592,0.6347673397717296
0.56,10182,9069,5761,0.8906894519740719,0.6352409306428493
0.5700000000000001,10182,9016,5723,0.885484187782361,0.6347604259094942
0.58,10182,8957,5683,0.8796896483991358,0.6344758289605895
0.59,10182,8859,5596,0.8700648202710666,0.631674003837905
0.6,10182,8810,5558,0.865252406207032,0.6308740068104427
0.61,10182,8773,5533,0.8616185425260263,0.6306850564231163
0.62,10182,8745,5516,0.8588685916322922,0.6307604345340194
0.63,10182,8707,5493,0.8551365154193675,0.630871712415298
0.64,10182,8658,5462,0.850324101355333,0.6308616308616308
0.65,10182,8574,5409,0.8420742486741308,0.6308607417774668
0.66,10182,8519,5367,0.8366725594185818,0.6300035215400869
0.67,10182,8473,5346,0.8321547829503044,0.6309453558361855
0.68,10182,8438,5322,0.8287173443331369,0.6307181796634274
0.6900000000000001,10182,8400,5296,0.8249852681202121,0.6304761904761905
0.7000000000000001,10182,8364,5273,0.8214496169711255,0.630439980870397
0.71,10182,8311,5247,0.8162443527794147,0.6313319696787391
0.72,10182,8266,5218,0.8118247888430564,0.6312605855310912
0.73,10182,8219,5184,0.80720879984286,0.6307336658960944
0.74,10182,8149,5139,0.8003339226085249,0.6306295250951037
0.75,10182,8093,5104,0.7948340208210568,0.6306684789324107
0.76,10182,8012,5056,0.7868788057356119,0.6310534198701947
0.77,10182,7908,4987,0.7766647024160283,0.6306272129489124
0.78,10182,7817,4930,0.7677273620113927,0.6306767302034029
0.79,10182,7704,4867,0.7566293459045375,0.6317497403946002
0.8,10182,7509,4775,0.7374779021803182,0.6359035823678253
0.81,10182,7294,4685,0.7163622078177175,0.6423087469152728
0.8200000000000001,10182,6951,4518,0.6826753093694755,0.6499784203711696
0.8300000000000001,10182,6500,4219,0.6383814574739737,0.6490769230769231
0.84,10182,5459,3714,0.5361422117462188,0.6803443854185748
0.85,10182,3752,2805,0.36849341976036143,0.7476012793176973
0.86,10182,3534,2675,0.34708308780200353,0.7569326542161856
0.87,10182,3497,2668,0.3434492241209978,0.7629396625679153
0.88,10182,3497,2668,0.3434492241209978,0.7629396625679153
0.89,10182,3494,2667,0.3431545865252406,0.7633085289066972
0.9,10182,3488,2667,0.3425653113337262,0.7646215596330275
0.91,10182,3486,2665,0.34236888626988804,0.7644865174985657
0.92,10182,3481,2662,0.3418778236102927,0.764722780810112
0.93,10182,3477,2661,0.34148497348261636,0.7653149266609146
0.9400000000000001,10182,3474,2660,0.34119033588685915,0.7656879677605066
0.95,10182,3471,2659,0.34089569829110195,0.7660616537021031
0.9500000000000001,10182,3471,2659,0.34089569829110195,0.7660616537021031
0.96,10182,3465,2657,0.34030642309958753,0.7668109668109668
0.97,10182,3451,2650,0.3389314476527205,0.7678933642422486
0.98,10182,8,5,0.000785700255352583,0.625
0.99,10182,0,0,0.0,
1.0,10182,0,0,0.0,
