threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.42,8229,6870,3586,0.8348523514400291,0.5219796215429403
0.43,8229,6787,3552,0.8247660712115689,0.523353469868867
0.44,8229,6704,3523,0.8146797909831085,0.5255071599045346
0.45,8229,6627,3496,0.8053226394458622,0.5275388561943565
0.46,8229,6546,3470,0.7954794021144732,0.5300947143293614
0.47000000000000003,8229,6451,3427,0.7839348645035848,0.5312354673694001
0.48,8229,6360,3384,0.7728764126868393,0.5320754716981132
0.49,8229,6296,3361,0.7650990399805566,0.533831003811944
0.5,8229,6222,3326,0.7561064527889172,0.5345548055287689
0.51,8229,6132,3285,0.7451695224207072,0.5357142857142857
0.52,8229,6043,3252,0.734354113501033,0.5381433063048154
0.53,8229,5969,3215,0.7253615263093937,0.5386161836153459
0.54,8229,5895,3186,0.7163689391177542,0.5404580152671755
0.55,8229,5815,3154,0.7066472232349009,0.542390369733448
0.56,8229,5742,3126,0.6977761574917973,0.5444096133751306
0.5700000000000001,8229,5667,3092,0.6886620488516223,0.5456149638256573
0.58,8229,5576,3054,0.6776035970348766,0.5477044476327116
0.59,8229,5524,3027,0.671284481711022,0.5479724837074583
0.6,8229,5454,2998,0.6627779803135253,0.5496883021635497
0.61,8229,5394,2971,0.6554866934013853,0.5507971820541342
0.62,8229,5324,2935,0.6469801920038887,0.5512772351615327
0.63,8229,5263,2911,0.639567383643213,0.553106593197796
0.64,8229,5194,2880,0.631182403694252,0.5544859453215248
0.65,8229,5110,2846,0.6209746020172561,0.5569471624266145
0.66,8229,5018,2802,0.6097946287519748,0.5583897967317657
0.67,8229,4943,2768,0.6006805201117997,0.559983815496662
0.68,8229,4847,2719,0.5890144610523758,0.5609655456983701
0.6900000000000001,8229,4737,2664,0.5756471017134525,0.5623812539582014
0.7000000000000001,8229,4643,2620,0.5642240855510998,0.5642903295283223
0.71,8229,4519,2564,0.5491554259326771,0.5673821641956185
0.72,8229,4393,2506,0.5338437234171831,0.5704529933985887
0.73,8229,4284,2449,0.5205978855267955,0.5716619981325863
0.74,8229,4150,2372,0.5043140114230161,0.571566265060241
0.75,8229,4038,2305,0.4907036091870215,0.570827142149579
0.76,8229,3901,2212,0.4740551707376352,0.5670340938220969
0.77,8229,3786,2137,0.46008020415603357,0.5644479661912308
0.78,8229,3696,2069,0.44914327378782354,0.5597943722943723
0.79,8229,3601,2019,0.43759873617693523,0.560677589558456
0.8,8229,3526,1979,0.42848462753676025,0.5612592172433353
0.81,8229,3448,1929,0.4190059545509782,0.5594547563805105
0.8200000000000001,8229,3364,1871,0.40879815287398225,0.5561831153388823
0.8300000000000001,8229,3323,1847,0.4038157734840199,0.5558230514595245
0.84,8229,3305,1836,0.40162838741037793,0.5555219364599092
0.85,8229,3268,1816,0.3971320938145583,0.5556915544675642
0.86,8229,3220,1795,0.3912990642848463,0.5574534161490683
0.87,8229,3178,1769,0.3861951634463483,0.5566393958464443
0.88,8229,3114,1739,0.3784177907400656,0.5584457289659602
0.89,8229,3037,1696,0.3690606392028193,0.5584458347053013
0.9,8229,2970,1653,0.36091870215092964,0.5565656565656566
0.91,8229,2889,1612,0.35107546481954066,0.5579785392869505
0.92,8229,2817,1578,0.3423259205249727,0.5601703940362087
0.93,8229,2737,1533,0.3326042046421193,0.5601023017902813
0.9400000000000001,8229,2655,1499,0.3226394458621947,0.5645951035781545
0.9500000000000001,8229,2554,1449,0.31036577956009237,0.56734534064213
0.96,8229,2439,1390,0.2963908129784907,0.5699056990569906
0.97,8229,2274,1314,0.27633977397010573,0.5778364116094987
0.98,8229,2054,1205,0.24960505529225907,0.5866601752677703
0.99,8229,1640,995,0.19929517559849314,0.6067073170731707
1.0,8229,0,0,0.0,
