threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.33,8229,7570,3568,0.9199173654149957,0.471334214002642
0.34,8229,7524,3550,0.914327378782355,0.4718234981392876
0.35000000000000003,8229,7458,3528,0.9063069631790011,0.47304907481898634
0.36,8229,7405,3512,0.8998663264066108,0.47427413909520594
0.37,8229,7341,3493,0.8920889537003281,0.4758207328701812
0.38,8229,7275,3473,0.8840685380969742,0.47738831615120275
0.39,8229,7190,3439,0.8737392149714425,0.4783031988873435
0.4,8229,7112,3408,0.8642605419856605,0.47919010123734535
0.41000000000000003,8229,7043,3379,0.8558755620366995,0.4797671446826636
0.42,8229,6974,3357,0.8474905820877385,0.4813593346716375
0.43,8229,6906,3325,0.8392271235873131,0.481465392412395
0.44,8229,6831,3293,0.8301130149471382,0.4820670472844386
0.45,8229,6771,3258,0.8228217280349982,0.4811696942844484
0.46,8229,6698,3223,0.8139506622918945,0.4811884144520752
0.47000000000000003,8229,6615,3194,0.8038643820634342,0.48284202569916856
0.48,8229,6539,3160,0.7946287519747235,0.48325432023245146
0.49,8229,6464,3126,0.7855146433345486,0.48360148514851486
0.5,8229,6390,3090,0.7765220561429093,0.4835680751173709
0.51,8229,6311,3055,0.7669218617085916,0.48407542386309615
0.52,8229,6220,3015,0.7558634098918459,0.4847266881028939
0.53,8229,6135,2976,0.7455340867663143,0.48508557457212714
0.54,8229,6053,2947,0.7355693279863896,0.48686601685114816
0.55,8229,5970,2920,0.7254830477579293,0.48911222780569513
0.56,8229,5889,2887,0.7156398104265402,0.4902360332823909
0.5700000000000001,8229,5815,2860,0.7066472232349009,0.49183147033533964
0.58,8229,5703,2829,0.6930368209989063,0.4960547080483956
0.59,8229,5613,2805,0.6820998906306963,0.4997327632282202
0.6,8229,5530,2777,0.672013610402236,0.5021699819168174
0.61,8229,5443,2738,0.661441244379633,0.5030314164982547
0.62,8229,5353,2709,0.6505043140114231,0.5060713618531665
0.63,8229,5239,2674,0.636650868878357,0.5104027486161481
0.64,8229,5149,2638,0.625713938510147,0.5123324917459701
0.65,8229,5072,2609,0.6163567869729007,0.5143927444794952
0.66,8229,4992,2574,0.6066350710900474,0.515625
0.67,8229,4910,2543,0.5966703123101227,0.5179226069246435
0.68,8229,4827,2513,0.5865840320816624,0.5206132173192459
0.6900000000000001,8229,4749,2477,0.5771053590958805,0.5215834912613182
0.7000000000000001,8229,4680,2450,0.5687203791469194,0.5235042735042735
0.71,8229,4596,2402,0.5585125774699234,0.5226283724978242
0.72,8229,4489,2345,0.5455097824766071,0.5223880597014925
0.73,8229,4374,2291,0.5315348158950055,0.5237768632830361
0.74,8229,4297,2256,0.5221776643577591,0.5250174540377007
0.75,8229,4210,2205,0.5116052983351561,0.5237529691211401
0.76,8229,4119,2159,0.5005468465184105,0.5241563486283078
0.77,8229,4037,2136,0.49058208773848583,0.5291057716125837
0.78,8229,3940,2099,0.4787945072305262,0.532741116751269
0.79,8229,3825,2051,0.46481954064892456,0.5362091503267974
0.8,8229,3735,2025,0.4538826102807145,0.5421686746987951
0.81,8229,3605,1985,0.4380848219710779,0.550624133148405
0.8200000000000001,8229,3469,1947,0.42155790497022727,0.561256846353416
0.8300000000000001,8229,3305,1899,0.40162838741037793,0.5745839636913767
0.84,8229,3035,1823,0.36881759630574795,0.6006589785831961
0.85,8229,2823,1739,0.3430550492161867,0.6160113354587319
0.86,8229,2585,1624,0.314132944464698,0.6282398452611219
0.87,8229,2344,1548,0.2848462753676024,0.6604095563139932
0.88,8229,2205,1485,0.26795479402114475,0.673469387755102
0.89,8229,2120,1439,0.25762547089561305,0.6787735849056604
0.9,8229,2025,1389,0.24608093328472475,0.6859259259259259
0.91,8229,1912,1333,0.23234900960019444,0.6971757322175732
0.92,8229,1806,1292,0.21946773605541378,0.7153931339977851
0.93,8229,1692,1232,0.2056142909223478,0.7281323877068558
0.9400000000000001,8229,1613,1193,0.19601409648803014,0.7396156230626162
0.9500000000000001,8229,1452,1133,0.17644914327378783,0.7803030303030303
0.96,8229,1342,1075,0.1630817839348645,0.801043219076006
0.97,8229,1217,975,0.14789160286790617,0.8011503697617092
0.98,8229,988,792,0.12006319115323855,0.8016194331983806
0.99,8229,259,202,0.03147405517073763,0.7799227799227799
1.0,8229,0,0,0.0,
